num_threads;method;num_iterations;elapsed_time
13;static;10000;1.21960000024046166800
13;dynamic;10000;0.86729999975432292558
13;guided;10000;0.93819999983679736033
14;static;10000;1.00270000029922812246
14;dynamic;10000;0.95090000013442477211
14;guided;10000;0.88830000004236353561
15;static;10000;1.27460000021528685465
15;dynamic;10000;1.22340000007170601748
15;guided;10000;1.17039999986445764080
16;static;10000;1.17769999997108243406
16;dynamic;10000;1.06079999977737315930
16;guided;10000;1.08860000000277068466
1;single;1000000;308.93289999994522077031
2;static;1000000;166.70620000013514072634
2;dynamic;1000000;161.59520000019256258383
2;guided;1000000;178.45080000006419140846
3;static;1000000;120.29389999997874838300
3;dynamic;1000000;112.59700000027805799618
3;guided;1000000;121.21710000019447761588
4;static;1000000;94.31590000031064846553
4;dynamic;1000000;92.22280000039972946979
4;guided;1000000;97.05309999981182045303
5;static;1000000;78.12590000003183376975
5;dynamic;1000000;79.49499999995168764144
5;guided;1000000;81.47869999993417877704
6;static;1000000;78.37930000005144393072
6;dynamic;1000000;70.20990000000892905518
6;guided;1000000;72.19399999985398608260
7;static;1000000;62.56579999990208307281
7;dynamic;1000000;63.69240000003628665581
7;guided;1000000;64.19640000012805103324
8;static;1000000;64.35220000003027962521
8;dynamic;1000000;60.27059999996708938852
8;guided;1000000;56.50299999979324638844
9;static;1000000;65.37189999971815268509
9;dynamic;1000000;54.88670000022466410883
9;guided;1000000;70.59029999982158187777
10;static;1000000;63.14720000000306754373
10;dynamic;1000000;55.90230000007068156265
10;guided;1000000;61.55649999982415465638
11;static;1000000;66.53679999999440042302
11;dynamic;1000000;54.39320000004954636097
11;guided;1000000;62.30599999980768188834
12;static;1000000;63.58399999999164720066
12;dynamic;1000000;55.33259999992878874764
12;guided;1000000;64.21640000007755588740
13;static;1000000;60.59880000020712031983
13;dynamic;1000000;56.59509999986767070368
13;guided;1000000;64.65249999973821104504
14;static;1000000;65.78839999974661623128
14;dynamic;1000000;62.41769999996904516593
14;guided;1000000;70.49289999986285693012
15;static;1000000;71.50659999979325220920
15;dynamic;1000000;60.58810000013181706890
15;guided;1000000;57.27620000016031553969
16;static;1000000;57.97559999973600497469
16;dynamic;1000000;55.23629999970580684021
16;guided;1000000;60.24579999984780442901
1;single;100;0.04630000012184609659
2;static;100;0.61300000015762634575
2;dynamic;100;0.04809999973076628521
2;guided;100;0.01990000009755021892
3;static;100;0.07329999971261713654
3;dynamic;100;0.02850000009857467376
3;guided;100;0.01430000020263832994
4;static;100;0.06239999993340461515
4;dynamic;100;0.01320000001214793883
4;guided;100;0.01229999998031416908
5;static;100;0.09300000010625808500
5;dynamic;100;0.02710000035222037695
5;guided;100;0.01079999992725788616
6;static;100;0.06490000032499665394
6;dynamic;100;0.01030000021273735911
6;guided;100;0.01399999973727972247
7;static;100;5.52969999989727512002
7;dynamic;100;1.31869999995615216903
7;guided;100;0.00959999988481285982
8;static;100;0.08920000027501373552
8;dynamic;100;0.01039999960994464345
8;guided;100;0.00869999985297909006
9;static;100;0.12980000019524595700
9;dynamic;100;0.36270000009608338587
9;guided;100;0.32800000008137430996
10;static;100;0.38640000002487795427
10;dynamic;100;0.36869999985356116667
10;guided;100;0.36750000026586349122
11;static;100;0.39180000021588057280
11;dynamic;100;0.47089999998206621967
11;guided;100;0.36170000021229498088
12;static;100;0.44400000024324981496
12;dynamic;100;0.40480000006937189028
12;guided;100;0.40699999999560532160
13;static;100;0.56290000020453589968
13;dynamic;100;0.25109999978667474352
13;guided;100;0.44900000011693919078
14;static;100;0.47629999971832148731
14;dynamic;100;0.45090000003256136551
14;guided;100;0.49609999996391707100
15;static;100;0.52700000014738179743
15;dynamic;100;0.48669999978301348165
15;guided;100;0.48569999989922507666
16;static;100;0.55990000009842333384
16;dynamic;100;0.53270000034899567254
16;guided;100;0.57740000011108350009
1;single;10000;3.56009999995876569301
2;static;10000;2.02579999995577964000
2;dynamic;10000;1.84410000019852304831
2;guided;10000;5.28179999992062221281
3;static;10000;1.67539999984001042321
3;dynamic;10000;1.37799999993148958310
3;guided;10000;1.35569999974904931150
4;static;10000;1.18290000000342843123
4;dynamic;10000;0.96609999991414952092
4;guided;10000;1.02250000009007635526
5;static;10000;0.97989999994751997292
5;dynamic;10000;0.87899999971341458149
5;guided;10000;0.86849999979676795192
6;static;10000;0.91680000014093820937
6;dynamic;10000;0.71500000012747477740
6;guided;10000;0.76149999995323014446
7;static;10000;0.80580000030749943107
7;dynamic;10000;0.68380000038814614527
7;guided;10000;0.67390000003797467798
8;static;10000;3.68570000000545405783
8;dynamic;10000;1.11059999971985234879
8;guided;10000;3.91050000007453490980
9;static;10000;1.10760000006848713383
9;dynamic;10000;1.08379999983299057931
9;guided;10000;1.07529999968392075971
10;static;10000;1.39609999996537226252
10;dynamic;10000;0.84650000007968628779
10;guided;10000;1.03170000011232332326
11;static;10000;1.06899999991583172232
11;dynamic;10000;0.87899999971341458149
11;guided;10000;0.99899999986519105732
12;static;10000;1.04529999998703715391
12;dynamic;10000;0.86600000031467061490
12;guided;10000;1.21459999991202494130
